figure symbol	synonyms	Ensembl
RIG-I	DDX58 ; RIG-1; RIG1	ENSG00000107201
TNF		ENSG00000232810
ZBP1	DAI	ENSG00000124256
cGAS		ENSG00000164430
STING	TMEM173	ENSG00000184584
Dectin-1	CLEC7A	ENSG00000172243
NFkB1	p50	ENSG00000109320
RELA	p65	ENSG00000173039
TLR3	I-TAC	ENSG00000164342
CXCL11	I-TAC	ENSG00000169248
IL1b		ENSG00000125538
NFAT	NFATC1	ENSG00000131196
IL10		ENSG00000136634
IL6	HSF	ENSG00000136244
IL8	CXCL8	ENSG00000169429
IL12	IL12B	ENSG00000113302
CCL4	MIP-1-beta	ENSG00000275302
CCL5	RANTES	ENSG00000271503
CXCL10	IP-10	ENSG00000169245
IFNa	IFNA	ENSG00000188379
IFNb		ENSG00000171855
AIM2	AIM2	ENSG00000163568
ASC	PYCARD	ENSG00000103490
